name,article,lang,lemma
Pianeta,https://it.wikipedia.org/wiki/Pianeta,it,Pianeta
Pianeta,https://it.wikipedia.org/wiki/Pianeta,it,Pianeta
Algebra,https://it.wikipedia.org/wiki/Algebra,it,Algebra
Algebra,https://it.wikipedia.org/wiki/Algebra,it,Algebra
Sistema numerico binario,https://it.wikipedia.org/wiki/Sistema_numerico_binario,it,Sistema numerico binario
Sezione conica,https://it.wikipedia.org/wiki/Sezione_conica,it,Sezione conica
Dispersione ottica,https://it.wikipedia.org/wiki/Dispersione_ottica,it,Dispersione ottica
Energia meccanica,https://it.wikipedia.org/wiki/Energia_meccanica,it,Energia meccanica
Funzioni pari e dispari,https://it.wikipedia.org/wiki/Funzioni_pari_e_dispari,it,Funzioni pari e dispari
Prodotto scalare,https://it.wikipedia.org/wiki/Prodotto_scalare,it,Prodotto scalare
Temperatura,https://it.wikipedia.org/wiki/Temperatura,it,Temperatura
Specchio curvo,https://it.wikipedia.org/wiki/Specchio_curvo,it,Specchio curvo
Funzione definita a tratti,https://it.wikipedia.org/wiki/Funzione_definita_a_tratti,it,Funzione definita a tratti
Quadrante (geometria analitica),https://it.wikipedia.org/wiki/Quadrante_(geometria_analitica),it,Quadrante (geometria analitica)
Suono,https://it.wikipedia.org/wiki/Suono,it,Suono
Suono,https://it.wikipedia.org/wiki/Suono,it,Suono
Funzione cubica,https://it.wikipedia.org/wiki/Funzione_cubica,it,Funzione cubica
Analisi matematica,https://it.wikipedia.org/wiki/Analisi_matematica,it,Analisi matematica
Analisi matematica,https://it.wikipedia.org/wiki/Analisi_matematica,it,Analisi matematica
Area,https://it.wikipedia.org/wiki/Area,it,Area
Telescopio,https://it.wikipedia.org/wiki/Telescopio,it,Telescopio
Telescopio,https://it.wikipedia.org/wiki/Telescopio,it,Telescopio
Condensatore (elettrotecnica),https://it.wikipedia.org/wiki/Condensatore_(elettrotecnica),it,Condensatore (elettrotecnica)
Luce,https://it.wikipedia.org/wiki/Luce,it,Luce
Luce,https://it.wikipedia.org/wiki/Luce,it,Luce
Luce,https://it.wikipedia.org/wiki/Luce,it,Luce
Infinito (matematica),https://it.wikipedia.org/wiki/Infinito_(matematica),it,Infinito (matematica)
Trigonometria,https://it.wikipedia.org/wiki/Trigonometria,it,Trigonometria
Trigonometria,https://it.wikipedia.org/wiki/Trigonometria,it,Trigonometria
Momento meccanico,https://it.wikipedia.org/wiki/Momento_meccanico,it,Momento meccanico
Eccentricità (matematica),https://it.wikipedia.org/wiki/Eccentricit%C3%A0_(matematica),it,Eccentricità (matematica)
Logaritmo,https://it.wikipedia.org/wiki/Logaritmo,it,Logaritmo
Aritmetica,https://it.wikipedia.org/wiki/Aritmetica,it,Aritmetica
Aritmetica,https://it.wikipedia.org/wiki/Aritmetica,it,Aritmetica
Matematica,https://it.wikipedia.org/wiki/Matematica,it,Matematica
Matematica,https://it.wikipedia.org/wiki/Matematica,it,Matematica
Matematica,https://it.wikipedia.org/wiki/Matematica,it,Matematica
Dominio e codominio,https://it.wikipedia.org/wiki/Dominio_e_codominio,it,Dominio e codominio
Sistema di riferimento,https://it.wikipedia.org/wiki/Sistema_di_riferimento,it,Sistema di riferimento
Spostamento (cinematica),https://it.wikipedia.org/wiki/Spostamento_(cinematica),it,Spostamento (cinematica)
Urto,https://it.wikipedia.org/wiki/Urto,it,Urto
Potenza (fisica),https://it.wikipedia.org/wiki/Potenza_(fisica),it,Potenza (fisica)
Numero complesso,https://it.wikipedia.org/wiki/Numero_complesso,it,Numero complesso
Funzione (matematica),https://it.wikipedia.org/wiki/Funzione_(matematica),it,Funzione (matematica)
Fuoco (geometria),https://it.wikipedia.org/wiki/Fuoco_(geometria),it,Fuoco (geometria)
Forza,https://it.wikipedia.org/wiki/Forza,it,Forza
Forza,https://it.wikipedia.org/wiki/Forza,it,Forza
Carica elettrica,https://it.wikipedia.org/wiki/Carica_elettrica,it,Carica elettrica
Carica elettrica,https://it.wikipedia.org/wiki/Carica_elettrica,it,Carica elettrica
Serie geometrica,https://it.wikipedia.org/wiki/Serie_geometrica,it,Serie geometrica
Minore (algebra lineare),https://it.wikipedia.org/wiki/Minore_(algebra_lineare),it,Minore (algebra lineare)
Decomposizione in fratti semplici,https://it.wikipedia.org/wiki/Decomposizione_in_fratti_semplici,it,Decomposizione in fratti semplici
Matrice elementare,https://it.wikipedia.org/wiki/Matrice_elementare,it,Matrice elementare
Raggio luminoso,https://it.wikipedia.org/wiki/Raggio_luminoso,it,Raggio luminoso
Tavola trigonometrica,https://it.wikipedia.org/wiki/Tavola_trigonometrica,it,Tavola trigonometrica
Curva piana,https://it.wikipedia.org/wiki/Curva_piana,it,Curva piana
Moltiplicazione di matrici,https://it.wikipedia.org/wiki/Moltiplicazione_di_matrici,it,Moltiplicazione di matrici
Joule,https://it.wikipedia.org/wiki/Joule,it,Joule
Numero naturale,https://it.wikipedia.org/wiki/Numero_naturale,it,Numero naturale
Numero intero,https://it.wikipedia.org/wiki/Numero_intero,it,Numero intero
Dimostrazione matematica,https://it.wikipedia.org/wiki/Dimostrazione_matematica,it,Dimostrazione matematica
Dimostrazione matematica,https://it.wikipedia.org/wiki/Dimostrazione_matematica,it,Dimostrazione matematica
Massa (fisica),https://it.wikipedia.org/wiki/Massa_(fisica),it,Massa (fisica)
Numero,https://it.wikipedia.org/wiki/Numero,it,Numero
Numero,https://it.wikipedia.org/wiki/Numero,it,Numero
Chilogrammo,https://it.wikipedia.org/wiki/Chilogrammo,it,Chilogrammo
Corrente elettrica,https://it.wikipedia.org/wiki/Corrente_elettrica,it,Corrente elettrica
Corrente elettrica,https://it.wikipedia.org/wiki/Corrente_elettrica,it,Corrente elettrica
Frequenza,https://it.wikipedia.org/wiki/Frequenza,it,Frequenza
Equazione,https://it.wikipedia.org/wiki/Equazione,it,Equazione
Equazione,https://it.wikipedia.org/wiki/Equazione,it,Equazione
Equazione differenziale,https://it.wikipedia.org/wiki/Equazione_differenziale,it,Equazione differenziale
Sistema di equazioni lineari,https://it.wikipedia.org/wiki/Sistema_di_equazioni_lineari,it,Sistema di equazioni lineari
Metro,https://it.wikipedia.org/wiki/Metro,it,Metro
Equazione parametrica,https://it.wikipedia.org/wiki/Equazione_parametrica,it,Equazione parametrica
Addizione,https://it.wikipedia.org/wiki/Addizione,it,Addizione
Elettrostatica,https://it.wikipedia.org/wiki/Elettrostatica,it,Elettrostatica
Grado d'arco,https://it.wikipedia.org/wiki/Grado_d%27arco,it,Grado d'arco
Limite di una funzione,https://it.wikipedia.org/wiki/Limite_di_una_funzione,it,Limite di una funzione
Coulomb,https://it.wikipedia.org/wiki/Coulomb,it,Coulomb
Derivata,https://it.wikipedia.org/wiki/Derivata,it,Derivata
Teorema binomiale,https://it.wikipedia.org/wiki/Teorema_binomiale,it,Teorema binomiale
Numero reale,https://it.wikipedia.org/wiki/Numero_reale,it,Numero reale
Resistenza elettrica,https://it.wikipedia.org/wiki/Resistenza_elettrica,it,Resistenza elettrica
Resistenza elettrica,https://it.wikipedia.org/wiki/Resistenza_elettrica,it,Resistenza elettrica
Ellisse,https://it.wikipedia.org/wiki/Ellisse,it,Ellisse
Hertz,https://it.wikipedia.org/wiki/Hertz,it,Hertz
Insieme,https://it.wikipedia.org/wiki/Insieme,it,Insieme
Funzione razionale,https://it.wikipedia.org/wiki/Funzione_razionale,it,Funzione razionale
Legge di Ohm,https://it.wikipedia.org/wiki/Legge_di_Ohm,it,Legge di Ohm
Legge di Ohm,https://it.wikipedia.org/wiki/Legge_di_Ohm,it,Legge di Ohm
Lunghezza d'onda,https://it.wikipedia.org/wiki/Lunghezza_d%27onda,it,Lunghezza d'onda
Lunghezza,https://it.wikipedia.org/wiki/Lunghezza,it,Lunghezza
Potenza (matematica),https://it.wikipedia.org/wiki/Potenza_(matematica),it,Potenza (matematica)
Moltiplicazione,https://it.wikipedia.org/wiki/Moltiplicazione,it,Moltiplicazione
Onda,https://it.wikipedia.org/wiki/Onda,it,Onda
Equazione di secondo grado,https://it.wikipedia.org/wiki/Equazione_di_secondo_grado,it,Equazione di secondo grado
Ohm,https://it.wikipedia.org/wiki/Ohm,it,Ohm
Energia cinetica,https://it.wikipedia.org/wiki/Energia_cinetica,it,Energia cinetica
Matrice,https://it.wikipedia.org/wiki/Matrice,it,Matrice
Matrice,https://it.wikipedia.org/wiki/Matrice,it,Matrice
Sottrazione,https://it.wikipedia.org/wiki/Sottrazione,it,Sottrazione
Lavoro (fisica),https://it.wikipedia.org/wiki/Lavoro_(fisica),it,Lavoro (fisica)
Vettore (matematica),https://it.wikipedia.org/wiki/Vettore_(matematica),it,Vettore (matematica)
Funzione quadratica,https://it.wikipedia.org/wiki/Funzione_quadratica,it,Funzione quadratica
Polinomio,https://it.wikipedia.org/wiki/Polinomio,it,Polinomio
E (costante matematica),https://it.wikipedia.org/wiki/E_(costante_matematica),it,E (costante matematica)
Equazione algebrica,https://it.wikipedia.org/wiki/Equazione_algebrica,it,Equazione algebrica
Effetto Doppler,https://it.wikipedia.org/wiki/Effetto_Doppler,it,Effetto Doppler
Sistema di coordinate polari,https://it.wikipedia.org/wiki/Sistema_di_coordinate_polari,it,Sistema di coordinate polari
Altezza (acustica),https://it.wikipedia.org/wiki/Altezza_(acustica),it,Altezza (acustica)
Elettroscopio,https://it.wikipedia.org/wiki/Elettroscopio,it,Elettroscopio
Quadrato (algebra),https://it.wikipedia.org/wiki/Quadrato_(algebra),it,Quadrato (algebra)
Numero primo,https://it.wikipedia.org/wiki/Numero_primo,it,Numero primo
Numero primo,https://it.wikipedia.org/wiki/Numero_primo,it,Numero primo
Radice quadrata,https://it.wikipedia.org/wiki/Radice_quadrata,it,Radice quadrata
Effetto fotoelettrico,https://it.wikipedia.org/wiki/Effetto_fotoelettrico,it,Effetto fotoelettrico
Legge di gravitazione universale,https://it.wikipedia.org/wiki/Legge_di_gravitazione_universale,it,Legge di gravitazione universale
Valore assoluto,https://it.wikipedia.org/wiki/Valore_assoluto,it,Valore assoluto
Calcolo infinitesimale,https://it.wikipedia.org/wiki/Calcolo_infinitesimale,it,Calcolo infinitesimale
Interferenza (fisica),https://it.wikipedia.org/wiki/Interferenza_(fisica),it,Interferenza (fisica)
Commutatività,https://it.wikipedia.org/wiki/Commutativit%C3%A0,it,Commutatività
Onda marina,https://it.wikipedia.org/wiki/Onda_marina,it,Onda
Caduta libera,https://it.wikipedia.org/wiki/Caduta_libera,it,Caduta libera
Geometria analitica,https://it.wikipedia.org/wiki/Geometria_analitica,it,Geometria analitica
Associatività,https://it.wikipedia.org/wiki/Associativit%C3%A0,it,Associatività
Energia potenziale,https://it.wikipedia.org/wiki/Energia_potenziale,it,Energia potenziale
Funzione continua,https://it.wikipedia.org/wiki/Funzione_continua,it,Funzione continua
Iperbole (geometria),https://it.wikipedia.org/wiki/Iperbole_(geometria),it,Iperbole (geometria)
Progressione geometrica,https://it.wikipedia.org/wiki/Progressione_geometrica,it,Progressione geometrica
Teorema dei seni,https://it.wikipedia.org/wiki/Teorema_dei_seni,it,Teorema dei seni
Curva (matematica),https://it.wikipedia.org/wiki/Curva_(matematica),it,Curva (matematica)
Limite (matematica),https://it.wikipedia.org/wiki/Limite_(matematica),it,Limite (matematica)
Serie,https://it.wikipedia.org/wiki/Serie,it,Serie
Base (algebra lineare),https://it.wikipedia.org/wiki/Base_(algebra_lineare),it,Base (algebra lineare)
Grafico di una funzione,https://it.wikipedia.org/wiki/Grafico_di_una_funzione,it,Grafico di una funzione
Prodotto vettoriale,https://it.wikipedia.org/wiki/Prodotto_vettoriale,it,Prodotto vettoriale
Teorema delle radici razionali,https://it.wikipedia.org/wiki/Teorema_delle_radici_razionali,it,Teorema delle radici razionali
Determinante (algebra),https://it.wikipedia.org/wiki/Determinante_(algebra),it,Determinante (algebra)
Unione (insiemistica),https://it.wikipedia.org/wiki/Unione_(insiemistica),it,Unione (insiemistica)
Campo vettoriale,https://it.wikipedia.org/wiki/Campo_vettoriale,it,Campo vettoriale
Posizione,https://it.wikipedia.org/wiki/Posizione,it,Posizione
Glossario della simbologia matematica,https://it.wikipedia.org/wiki/Glossario_della_simbologia_matematica,it,Glossario della simbologia matematica
Principio d'induzione,https://it.wikipedia.org/wiki/Principio_d%27induzione,it,Principio d'induzione
Isolante elettrico,https://it.wikipedia.org/wiki/Isolante_elettrico,it,Isolante elettrico
Campo (fisica),https://it.wikipedia.org/wiki/Campo_(fisica),it,Campo (fisica)
Funzione iniettiva,https://it.wikipedia.org/wiki/Funzione_iniettiva,it,Funzione iniettiva
Asintoto,https://it.wikipedia.org/wiki/Asintoto,it,Asintoto
Funzione periodica,https://it.wikipedia.org/wiki/Funzione_periodica,it,Funzione periodica
Intervallo (matematica),https://it.wikipedia.org/wiki/Intervallo_(matematica),it,Intervallo (matematica)
Fattorizzazione,https://it.wikipedia.org/wiki/Fattorizzazione,it,Fattorizzazione
Disuguaglianza,https://it.wikipedia.org/wiki/Disuguaglianza,it,Disuguaglianza
Disuguaglianza,https://it.wikipedia.org/wiki/Disuguaglianza,it,Disuguaglianza
Moto parabolico,https://it.wikipedia.org/wiki/Moto_parabolico,it,Moto parabolico
Matrice quadrata,https://it.wikipedia.org/wiki/Matrice_quadrata,it,Matrice quadrata
