name,article,lang,lemma
Physics,https://en.wikipedia.org/wiki/Physics,en,Fisica
Physics,https://en.wikipedia.org/wiki/Physics,en,Fisica
Physics,https://en.wikipedia.org/wiki/Physics,en,Fisica
Right angle,https://en.wikipedia.org/wiki/Right_angle,en,Angolo retto
Square,https://en.wikipedia.org/wiki/Square,en,Quadrato
Color,https://en.wikipedia.org/wiki/Color,en,Colore
Color,https://en.wikipedia.org/wiki/Color,en,Colore
Hooke's law,https://en.wikipedia.org/wiki/Hooke%27s_law,en,Legge di Hooke
Refractive index,https://en.wikipedia.org/wiki/Refractive_index,en,Indice di rifrazione
Electric potential,https://en.wikipedia.org/wiki/Electric_potential,en,Potenziale elettrico
Statistical population,https://en.wikipedia.org/wiki/Statistical_population,en,Popolazione statistica
Reflection (mathematics),https://en.wikipedia.org/wiki/Reflection_(mathematics),en,Riflessione (geometria)
Self-similarity,https://en.wikipedia.org/wiki/Self-similarity,en,Auto similarità
Slope,https://en.wikipedia.org/wiki/Slope,en,Coefficiente angolare
Energy,https://en.wikipedia.org/wiki/Energy,en,Energia
Velocity,https://en.wikipedia.org/wiki/Velocity,en,Velocità
Velocity,https://en.wikipedia.org/wiki/Velocity,en,Velocità
Kite (geometry),https://en.wikipedia.org/wiki/Kite_(geometry),en,Aquilone (geometria)
Amplitude,https://en.wikipedia.org/wiki/Amplitude,en,Ampiezza
Capacitance,https://en.wikipedia.org/wiki/Capacitance,en,Capacità elettrica
Machine learning,https://en.wikipedia.org/wiki/Machine_learning,en,Apprendimento automatico
Rectangle,https://en.wikipedia.org/wiki/Rectangle,en,Rettangolo
Electron,https://en.wikipedia.org/wiki/Electron,en,Elettrone
Electron,https://en.wikipedia.org/wiki/Electron,en,Elettrone
Bayes' theorem,https://en.wikipedia.org/wiki/Bayes%27_theorem,en,Teorema di Bayes
Refracting telescope,https://en.wikipedia.org/wiki/Refracting_telescope,en,Telescopio rifrattore
Snell's law,https://en.wikipedia.org/wiki/Snell%27s_law,en,Legge di Snell
Geometry,https://en.wikipedia.org/wiki/Geometry,en,Geometria
Geometry,https://en.wikipedia.org/wiki/Geometry,en,Geometria
Principal component analysis,https://en.wikipedia.org/wiki/Principal_component_analysis,en,Analisi delle componenti principali
Magnetic field,https://en.wikipedia.org/wiki/Magnetic_field,en,Campo magnetico
Cluster analysis,https://en.wikipedia.org/wiki/Cluster_analysis,en,Clustering
Nonlinear system,https://en.wikipedia.org/wiki/Nonlinear_system,en,Sistema non lineare
Angle,https://en.wikipedia.org/wiki/Angle,en,Angolo
Secant line,https://en.wikipedia.org/wiki/Secant_line,en,Secante (geometria)
Creep (deformation),https://en.wikipedia.org/wiki/Creep_(deformation),en,Scorrimento viscoso
Stiffness,https://en.wikipedia.org/wiki/Stiffness,en,Rigidezza
Null hypothesis,https://en.wikipedia.org/wiki/Null_hypothesis,en,Ipotesi nulla
Magnet,https://en.wikipedia.org/wiki/Magnet,en,Magnete
Pythagorean theorem,https://en.wikipedia.org/wiki/Pythagorean_theorem,en,Teorema di Pitagora
Pythagorean theorem,https://en.wikipedia.org/wiki/Pythagorean_theorem,en,Teorema di Pitagora
Symmetry,https://en.wikipedia.org/wiki/Symmetry,en,Simmetria
Symmetry,https://en.wikipedia.org/wiki/Symmetry,en,Simmetria
Pyramid (geometry),https://en.wikipedia.org/wiki/Pyramid_(geometry),en,Piramide (geometria)
Fracture,https://en.wikipedia.org/wiki/Fracture,en,Frattura (meccanica)
F1 score,https://en.wikipedia.org/wiki/F1_score,en,F1 score
Series and parallel circuits,https://en.wikipedia.org/wiki/Series_and_parallel_circuits,en,Circuiti in serie e in parallelo
Face (geometry),https://en.wikipedia.org/wiki/Face_(geometry),en,Faccia (geometria)
Data processing,https://en.wikipedia.org/wiki/Data_processing,en,Elaborazione dati
Laser,https://en.wikipedia.org/wiki/Laser,en,Laser
Distance,https://en.wikipedia.org/wiki/Distance,en,Distanza (matematica)
Acceleration,https://en.wikipedia.org/wiki/Acceleration,en,Accelerazione
Energy,https://en.wikipedia.org/wiki/Energy,en,Energia
